proj_unixname	description
camit	CamIt is a Windows command line tool for continuously capturing a window (or the entire desktop) and saving the video stream as a WMF (Windows Media Format) file. Optionally, sound is also recorded and stored in the WMF file.
caml	CAML (Cellular Automata Modelling Language) is an XML application for modelling Cellular Automata.
caml-rtbapi	Caml-RTBApi is a library for Objective Caml Language to easily implement robots for the realtimebattle game. It offers a layer of abstraction, allowing the programmer to center in the robot logic.
camlbot	A multithreaded irc bot written in Ocaml
camlcss	CamlCSS is an O&#039;Caml SDK to write server-side plugins for a first person shooter game Counter-Strike: Source.
camlgl	OpenGL bindings for Objective Caml programming language.
camlgobot	CamlGoBot is a computer go program using the GTP protocol and written in OCaml. Its main goal is to be used as a bot on the KGS go server.
camlgrenouille	Command line client to test broadband connections and report results to the site http://www.grenouille.com/
camlio	OCaml Input/Output interface and the reference implementation.
camlru	Russian translation of OCaml official documentation
camlserv	This project is a lightweight server written in Ocaml for highly interactive webpages or even online browser based games. The server can already be used as a fast frontend to a MySQL database. The software should work on *nix and windows.
camlusb	An Ocaml binding to libusb, a library to access USB devices in user space under various Unix variants
cammie	Cammie is a multiplatform frontend for Dict.org and for Cambridge Online Dictionary (experimental). It is probably the only user-friendly Dict.org client that works on Linux, Mac OS X and Windows. It keeps history of queries, saves them or prints them.
camnet	camNet is a P2P Network to exchange Webcam images and videos. Therefore the P2P Network is aware of the location of it&#039;s participants and efficient location-based search is possible.
camobile	Create a camera based motion detection algorithm to control the main character in the mobile game.
camotion	Play with any V4L source. Useful for testing webcam, BTTV or DVB drivers and cards, capture snapshots, record &amp; encode a TV program, security monitoring or store an internet-streamed video in your hard disk.
campaign	The Campaign Simulator is an attempt to statistically model and predict the outcome of an American presidential election; several users assume the roles of competitive candidates and inflict the repercussions of certain decisions on a GSS based dataset.
campaign-forms	Campaign Forms is a development framework for annotation of images with logical content. This can be used to generate HTML forms from image-only forms. Written in PHP, uses Javascript and CSS for frontend and uses SQL for backend DB storage.
campaignmgr	campaignmgr provides an interface to track everything relevant in running a political party or interest group: offices, candidates, campaigns, voters, etc.
campaignon	A call center application for generating call scripts
campaignos	Policorp is proud to announce CampaignOS, a state-of-the-art web based CRM system for managing political campaigns&#039; records, events, financials, gov&#039;t compliance and reporting, built with RubyOnRails and fully internationalized (i18n/l10n)
campaigntoolz	phpCampaignTools was a collection of web campaign tools which have been built using PHP/MySQL.  The most active component was a ePetition tool which has now been incorporated into http://www.Back-End.org - another Open Source php/mysql application on sf.
campcaster	Campcaster is a playout/automation system for radio stations. It is made up of three major components: 1) Station, the server backend and web interface 2) Studio, which includes a GUI client for Linux 3) Network, for program exchange between stations
campdms	Camp information management system, including event registration, lodging, donor giving, mailings, rental management, and more.
campodemarte	Sistema Simulador para Entrenamiento Militar de Combate. / Military Warfighting Training Simulator System.
camprocessor	The home of the Oasis CAM processor and Template Editor
camps	Campus Mapping System is a modern web-based mapping system for finding directions on a campus.
campsite	CAMPSITE is a Unicode-based, mulitlingual web-content-management system designed for medium-to-large-size news publications. Issues, copy flow, back archives, as well as subscription management are fully implemented features.
campsoft	Distributed web-based software application to allow childrens camp directors to easily store and manage information. The type of information includes family, camper, staff, medical, accident, travel, payment and charge information.
campuppy	Campuppy is a software that that will act as recipient to alarm notifications over TCP from network cameras - The application opens up a new instance of Internet Explorer on the users Windows XP PC with the video stream from the sending camera in focus.
campus	Development of an open-source intranet solution for educational institutions.
campus-inbox	Campus Inbox lets your students turn in their assignments over the web using PHP and MySQL.  Features include file history, batch downloading and assignment locking.
campusgis	The Campus GIS project has a goal of developing an interactive, extensible campus mapping tool using a public map api.
campusip	Is a web-based software for schools and colleges. This is a software write in Java with hibernate, xdoclet, webwork and other open source also is make with Extreme Programming software development process.
campusmap	CampusMap is a small 3D map applet built under Processing and Java to allow guests and members of a university to explore and gain a basic overview of the campus.
campust3	CAMPUS T3 - A OS Learning Management System based on the OS CMS TYPO3
campy	campy is a graphicfrontend to gphoto2. It is written in Python an uses wxPython for graphical part.
camram	Camram is a hybrid antispam system combining multiple techniques improving the users e-mail experience.
camranbss	Campaign for Real Ale, National Beer Scoring System recording and reporting tool.
camscope	Camscope is a multi-threaded program for acquiring and quantitatively analyzing images from an IIDC-compliant FireWire camera.  It provides an integrated environment for performing quantitative video microscopy for teaching laboratories.
camsh	A command line utility that allows the user to communicate to a PVCAM(R) compatable photonic detection system ( ccd camera ). Features include the abillity to set/get experimental parameters, acquire and write data to file, ineractivly or by reading ini.
camsource	Camsource is a modularized and multithreaded daemon to provide various clients with frames grabbed from a video4linux device. It uses a plugin system to make it possble to use the captured image stream for different purposes at the same time.
camstom	CamStom takes a picture from Dental Camera and save to disk to folder named by patient cards number.\nCamStom robi zdj?cia z kamery dentystycznej i zapisuje je na dysk do folderu z numerem karty pacienta.
camstudio	CamStudio records activity from your screen and audio from a microphone into AVI video files and can also convert the AVIs into Streaming Flash videos (SWFs) using its built-in SWF Producer.
camtracker	Cam Tracker DB is an application that allows remote camera video to be transported over a network and stored in a relational database in small time segments. It provides the ability to quickly access video based on date, time and camera location.
camtrivia	CamTrivia is a highly configurable bot for the Camfrog video chat software for people running Camfrog servers.
camuffo	Free CFML (Cold Fusion Markup Language) interpreter. 100% Java, Tomcat and J2EE compatible
camule	A Re-implementation of the old C64 game M.U.L.E
camus	An Open Source CMS written in Java.
camviewer	The camViewer is a simple application designed for viewing webcams in the net. It works by fetching the image file from the specified internet address (URL). This is a freeware application and there&#039;ll be more comments for educational porpose.
can-ce	This project will be a driver for WinCE to read and write CAN messages of the CAN-Interface.
can-harness	Replace a Vehicle Wiring Harness with a simple CAN network and unified power distribution.  Based on ATMEL AVR microcontrollers and Microchip MCP25050 CAN I/O expanders.
can4qnx	can4qnx is a QNX device driver allowing the user to communicate with other devices over CAN bus.
canaan	an open source repository system for organizations in archeology
canada	Canada is a multi-purpose curses-based graphical visual effects thingy which displays pretty pictures.
canapa	Completely Automated Non-null Annotation Propagating Application
canasta	Online and offline open-source Canasta card game, the client side should be compatible to work with Windows XP onwards and Linux.  The system will be written in C++ and designed using UML.
canavar	CaNaVaR mIRC ScripT
canaveral	Canaveral is a 3D desktop tool for launching applications via clicking on 3d representations of those applications (3d icons/meshes)
canburn	Canburn is simple program for testing directory structure in order to burning it to CD-ROM. It can be used to check files before burning them to CD.
canbus4linux	Modular canbus driver for linux.
cancelbot	BibleBot for XChat. Also a collection of other useful Python scripts for XChat. Translator(TransBot), Dictionary(DictBot), Googling(GoogleBot), Relaying(RelayBot), Calculator(CalcBot), Operation(OpBot), Seen(SeenBot), Weather(WeatherBot) Platform indepen
cancelclock	Tired of waking up only to find out that weather has cancelled your school or work?  Cancellation Clock does the checking for you!  Set it up and Cancellation Clock will check to see if your place of interest has been cancelled or delayed.
cancenswork	Workbench for easier and faster transcription of information from the 1901 Canadian Census into machine-readable form
cancerbero	Cancerbero (the watchdog of the ports) is a portscan frontend based in nmap. Scans the hosts of net ranges every configured interval and it&#039;ll store the results in a mysql DB. Detect changes in ports, services and OS and notice you with an email ale
cancun	Cancun is an implementation of the JCA Connection Manager portion of a J2EE application server. The primary purpose is to allow multiple data sources to be handled transparently, using 2PC, and delegating the transaction handling to an XA-capable TM.
candango	Set of applications modeller uml and database diagrams.
candb-dev	This is a framework for publishing data from a database on a web site using XML, XSLT, Java, and Oracle XSQL for the purpose of supporting non-profit public service organizations.  This project was started by the BASICS ministry in Milwaukee, Wisconsin.
candi	Candi is the open source dialer. It CAN DIal and collect different statistics.
candid	Originally written by Ben Weir in PERL, CANDIDv2 is an updated PHP-based interface for managing images searchable by date taken, photographer, description, and people in image.  Images are categorized for a hierarchical browsing.  Users can also upload v
candide	Candide est une navigateur dans les mondes 3D. Il est rapide et permet de travailler sur des grands mondes.
candideblog	Candide aims to be a unique piece of software in an otherwise crowded and monotonous field. Candide (blog) is a unique mixture of OO-PHP, JavaScript and other tricks which combine to create a blog which is both interesting to look at as well as work with
candido	&quot;Candido&quot; is an Italian word that means &quot;candid&quot;, smooth things and feelings... This project contains anything to get a Candido desktop, wallpapers, gtk theme, metacity, xfwm4, gdm...
candidv2	A web-enabled, fully-searchable (EXIF capable) photo gallery, based on PHP, with the ability to assign people to photos as well as photographers and descriptions. GD-enabled to generate thumbnails and rotate images.
candy	A type of network in which each workstation has equivalent capabilities and responsibilities. Each providing files to share with others within the network. Share your favorite music and coolest cd/dvd software.
candy-crisis	A Cool Fun Filled Puzzle Game Of Candy Crisis... Group 4 or More of the Same Colored Alive Candy&#039;s to make them vaporize... Features: Single Player / Two Player / and Solitaire Player Action, 12 Fun Exciting Levels, Excellent Music, Superb SFX / GFX
candy4appfuse	Candy for Appfuse is a set of plugins intended to make your daily\nwork with Appfuse 2.0 more confortable. Its final objective is to allow a developer to forget all about maven2 commands, while giving support for Appfuse best practices.
candycrisis	Candy Crisis: an exciting puzzle game written with C, SDL, SDL_image, and Fmod. Originally on Mac OS, also ported to Winddows.
candygram	A Python implementation of Erlang concurrency primitives. Erlang is widely respected for its elegant built-in facilities for concurrent programming. This package attempts to emulate those facilities as closely as possible in Python.
candylator	This is an accounting program for candy sales.  It stores records of inventory, sales, profit, predicted invoices, etc...  Program saves files in proprietary format and views previous records to build prediction algo.
canfestival	CanFestival focuses on providing an ANSI-C platform independent CANOpen stack that can be implemented as master or slave nodes on PCs, Real-time IPCs, and Microcontrollers.
canfloss	The project is affiliated with WorldVistA
cangelo	A universal site architecture with many modules.  It will include a login, security, recommended directory/file structure, template, database class generator, and more.  Allow site administrators to easily setup a modular and consistent site architecture
canine-ration	&quot;Canine Ration&quot; for help to breeders and all dog amateurs in calculation of every day canine ration and its food value.
canis	Canis is an ego-shooter/RPG mix. Many small stories/adventures that belong to/take place in one big universe can be played by one or more human players connected over a network. Depending on the choosen character they play with or against each other.
canista	Canista brings the popular canasta to the computer with the ability to play it against the computer or against others on the network.
caniswing	CaniSwing is a Java application for quickly choosing and placing furniture on a house 2D plan drawn by the end-user, with a final 3D preview
caniszczyk	A visualization library using draw2d to provide fisheye views for modeling data.
canna-chat	Canna-Chat a Complete Accessibility PHP Chat
cannagrower	This software enable cannabis grower to manage and retrieve statistics about culture, tools included have the goal to help growing indoor cannabis.
canned-vis	An asynchronous data visualization system for client/server operation. Data that is produced on some host in batch mode is viewed on a workstation or PC interactively, but is not squeezed through the narrow link between them in its bloated entirety.
cannibalizer	Procurement and synthesis are a foundation, which enables a whole class of automated usages of the web. For instance, a website conceived as an interactive service can be recast as a WebService, without the original provider needing to alter his website.
cannonball	Cannonball is a car racing game where you participate in the open road Cannonball. You will see your car from a helicopter\\&#039;s perspective. The game features OpenGL rendering, joystick/steering wheel control and realistic car physics.
cannonfodder	A multiplayer Java based rampart clone with additional features to come.
cannonsmash	Cannon Smash is a 3D tabletennis game.
canny	A Smarty-like template library for Ruby.
canoe	A SOA Grid framework running above the Amazon virtualization Web-Services - EC2, S3 &amp; SQS. The framework allows building a SOA back-end to enterprise/web scale applications, without any hardware or data center facilities, only an Amazon account.
canon-d1250	SANE Backend for Canon D1250u2 scanner
canon-fb330p	SANE backend and stand-alone driver for Canon CanoScan parallel scanners (FB320P, FB620P, FB330P, FB630P, N340P, and N640P).  Please note FB310P is NOT currently supported, sorry.  For USB model support go to http://canon-fb630u.sourceforge.net/
canon-fb630u	This project was used to develop an OS-independent driver for the CanoScan FB630U flatbed scanner in the form of a backend for the SANE package. Since integration with the SANE project in 2002, there has been no activity here.
canon-mp110-130	Driver development for Canon MP110 and eventually MP130 multifunction printer/scanner. This hardware is not supported by SANE yet.
canoncam	GNU Canon digital camera utilities for image manipulation in Canon digital cameras (EOS 350D, 20D, 1D, etc.)
canondrv	Linux - POSIX compliant open source driver for the Canon Communication VC-C1 camera
canone	Canone is a fully graphical and animated web interface for the control system of particle accelerator laboratories. Built in PHP and JavaScript using AJAX and SQL.
canonrcwrapper	This project is a .Net library, written to allow easy integration of the SDK in .Net applications. This does not include the SDK. The SDK may be obtained from Canon here (in the US): http://www.developersupport.canon.com/.
canonscanner	This is the repository for experimental driver code for Canon 1220U scanner. See CVS for actual code. canon is for Linux utility. ucanoscan is for FreeBSD
canopen	CANopen opensource Central provides you free CANopen programs and useful information about the CANopen protocol
canopennode	CANopenNode is an open source software stack used for serial communication of multiple devices over the CAN/CANopen Network. It works on 8-bit microcontrollers, is reliable, simple and powerful and is suitable for industrial or home automation.
canopus	Toolkit for generating various kind of code from single descriptive model.
canopy	The Canopy project is an initiative to merge and expand the functionality of Perl-speaks-NONMEM (PsN), Census, Xpose and PopED. The goal is to produce a coherent, inclusive and convenient platform for pharmacometric data analysis.
canorus	Canorus is a free cross-platform music score editor. It supports an unlimited number and length of staffs, polyphony, a MIDI playback of notes, chord markings, lyrics, import/export filters to formats like MIDI, MusicXML, ABC Music, MusiXTeX and LilyPond
canpie	This project defines a Standard API for access to the CAN (Controller Area Network) bus. The API provides functionality for ISO/OSI Layer-2 (Data Link Layer). The CANpie driver is the base for HLPs like CANopen, DeviceNet, J1939 etc.
cansimulator	A Simulator P2P Networks, based on the Content-Addressable Network. It can be used for demonstration and scientific research.
cantainer	Automatically use your Ant-defined classpaths within your Eclipse projects.
cantaletras	Cantaletras is a piece of software for preparing blind children for school. It is unique in it&#039;s design of the interaction between a children, a computer and an educator. Currently in Spanish and undergoing redesign, translations are desirable.
cantalope	CANtalope is an open source reader for the Controller Area Network protocol.  Using this software a developer can read and transmit CAN messages on the CAN bus.  Keep in mind that this tool does require a seperate hardware interface.
cantcl	CANTCL is the Canonical Tcl Archive Network and will provide an online repository for binary and source code distributions of Tcl extensions and applications.
cantera	Cantera is a suite of object-oriented software tools for problems involving chemical kinetics, thermodynamics, and/or transport processes.  It can be used from MATLAB, Python, C++, or Fortran.
cantina	Content management system for J2EE web applications
cantine	Gestion de cantine scolaire initialement développée pour une mairie. Les principales fonctionnalités sont : gestion des familles et enfants et adultes, commandes traiteur, pointages et réservations, ...
cantocomb	A Java library to pull heirarchical data back from a database. How the results are treated can be controlled in a pluggable way, including generating XML or Java objects.
canton	CANTON is a project for creating a plataform/framework for condominium management
cantona	A Java program to generate the character in MUD easily by specify attributes.
cantrace	It is a powerfull CAN (Controller Area Network) Trace Programm. With this Programm you can Trace the CAN-Telegrams(Frames) and send Telegrams on the CAN-Bus.
cantux	Cantux is an admin plugin project for Garry&#039;s Mod (at least 8.4) using LUA.
canu	This is a linux kernel subsystem / char device, which acts as abstraction layer between CAN controller drivers and user applications or other kernel modules. It extends a real or a virtual CAN network and behaves like a virtual CAN hub.
canvas	The canvas widget is a EiffelVision2 widget that supports zooming, panning, and animation of the displayed graphical objects.
canvaspainter	Canvas Painter is a simple graphical paint application with animation functionality and widgits written in javascript for the canvas HTML component. It currently works in Firefox, Opera and Safari with some support for IE.
canvasstudio	Photoshop like digital imaging plug-in for the Eclipse Rich Client Platform. Designed to provide a flexible framework which enables 3rd party developers to extend the application through the use of plug-in technology.
canvasui	CanvasUI is a Lightweight, Compact Java UI.  It&#039;s designed to be small enough for applet use and uses CSS files for configuration.  Implementation is obtained using simple interfaces and event queues.
canver	Canver Software project, phpbb mods
canverportal	phpBB3 Portal is a simple portal for phpBB3 Olympus phpBB3 Portal a.k.a canverPortal which is a add-on modification on phpBB3 Olympus. It&#039;s easy to use and improvable. Portal which is based on phpBB3 Olympus and improved by Canver Software.
canyamo	El proyecto se mantiene actualmente (2006) en javahispano.net. This proyect is hosted now (2006) on javahispano.net
canzoniere	Canzoniere is an mp3 classification tool, which allows users to classify their songs using personal criteria such as artist score, song score and moods (i.e. romantic, relax, party, etc.). Users can then select their mood and play songs that match.
caos	Caos is a Web application in order to create operationnal statistic SQL reporting in a Web Interface.
cap	Realtime construction of audio manipulation chains :: simple plugin architecture :: GTK--
cap-help	A web based web design tool for making quick template designs. The user can than choose to have a more extensive design made.
cap-py	cap-py: A captive portal  for wireless access points with ties to OpenBSD&#039;s PF firewall system.
cap4e	CAP (code analysis plugin) is an eclipse plugin (written in Java) that analysis your java project. It checks dependencies between the classes and packages and gives you a hint about the architecture, reusability and maintainability. (&quot;JDepend 2&quot
capache	This software is for configure apache webserver, in linux os or windows.
capcomvssnk2	The Zero Generationz Capcom Vs SNK 2 Project On Mugen. This Is The Completed Alpha Version, I Am Working On The Beta Version. Contains 59 Characters, 11 Stages, And The Total File Size Is 604 MB. For More Info Visit: http://ww.urlcut.com/zerogeneration
capecode	CapeCode HQ presents CopperOnion, a Prototypal styled PHP Framework for developing high load scalable web applications, designed and built from hands on experience, CopperOnion is working concept in PHP application design.
capel	CAPEL - Code Automatization of Programs by Extrusions Language. A library to add automatized code to your source modules without touching the code you add by hand.
capeopenwizard	The CAPE-OPEN wizard is a collection of Object Pascal classes that implements (some of) the interfaces defined by the CO-LaN. The CAPE-OPEN standard is intended to be a standard used for user written plug-ins in chemical process simulators.
capetown	#Cape_Town Website Scripts are the scripts that power the #Cape_Town on IRC Website which is located @ http://www.capetown.za.org/
capi	CAPI (C Language Algorithm Programing Interface) is a programing interface of data structures and algoriths use c language, it supports multiple task.
capi2mail	Capi2mail is a daemon, that is listening via capi for incomming calls. If an incomming call arrives it send an message to the user. This message could be an email, an netbios popup, dbox2 message or an mythtv on-screen display
capi4yaps	Patched version of YAPS (Yet Another Pager Software) to run on top of CAPI. This project is now hosted on www.melware.org
capicua	this is a replication (mirroring) system based in the famd daemon and sockets for clients comunication.
capiisdnmon	A Capi 2.0 Isdn CallMonitor with ldap name resolution.
capimin	It is a Usermin (Webmin) module for CapiSuite (ISDN FAX / Voice)\nNew: A Webmin module is also available , but with test features only.\nYou can send a fax, view and manage the queues (send, received,voice,etc).
capind	Capind is a program for calculating RLGC matrix of multi-conductor transmission lines of arbitrary shape and dielectric configuration. Capind is based on finite difference method and features easy-to-use input files and optional graphical interface.
capiphone	Send and receive faxes using spandsp library, record, playback and connect calls (conference) with this commandline linux application for capi the CAPI 2.0 interface. Also runs on Embedded Systems (e.g. AR7 or German FritzBox).
capismetaeditor	Since uppercase letters are a small part of text bandwidth, I use them as control characters.  The caps-as-meta editor project applies this idea to a text editor.  Small and easy to re-code, do you really need more than 26 commands?
capisuiteconv	CapisuiteConv is an application for the popular ISDN telecommunication suite capisuite to automate the conversion from the voicebox files to mp3 files in a directory of your choice (maybe a smb share...).
capital	Capital Service Program is kind of mix from bug-tracking to helpdesk system. It specializes on hardware problem/solution tracking.
capitalist	Capitalist is a Monopoly(R)-like board game for 2-8 players. It is server/client based and intended to be played over network. This is the project for the server (capitalist).
capitalresource	The CapitalReSources program can be used to manage stock exchange data (shares, options, indexes etc.), display the stock data graphically (windows or web), use and define technical indicators for a trade system, optimize trade systems
capitol	Capitol Realm Controller will provide basic authentication and directory services for Kerberos realms, similar to Microsoft&#039;s ActiveDirectory or Novell&#039;s NDS.  Initially, the main goal will be towards basic POSIX compliance, but advanced featur
capivar	Capivar Hunter is a simple 3d shooter written in Python/OpenGL intended as a learning platform to Game Development, Python and 3d Programming. Although it should be at least somewhat funny, the main objective of it is being simple and easy to extend.
capivara	Capivara is a graphical file transfer and file synchronization application. It supports network protocols such as SFTP and FTP.
caplisp	CapLisp is a capability security layer for Common Lisp that provides various facilities for secure, distributed computing.
caplot	This is a php_gtk plotting library completely in php.  Goals are convenience of use, speed, and flexibility.  Other goals are definition of callbacks, export to svg,jpg,etc., ingest shapefiles, advanced scientific trend line calculation (regressions, etc
capmac	A repository of the projects of the Austin Mac programmers group.
cappshadowrun	A java-based tool for computer-augmented Pen&amp;Paper roleplaying in Shadowrun. The idea is that this tool will be used in-game as a character sheet and/or gamemaster&#039;s tool while being interoperable with people using traditional pen&amp;paper to p
cappuccino	Cappuccino est un programme de gestion Cybercafe qui utilise une architecture 3-tiers, avec une DB Mysql. -Gestion des comptes prepayes. -Definition simple de la tarification. -Utilisation de la VOIP avec les postes clients. -Gestion des impressions effe
cappuccinomix	Cappuccino Mix is a new way of use e-mail. Storage images, files, movies, documents in mail body. The storage can be online or offline. Developed in Java and XML.
capr-pi	Linux driver for CAPR-PI, low cost ICSP programmer for Microchip PIC microcontroller. Tested on PIC18F8720, PIC18F8620, PIC18Fxx20
capradoc	The aim of Capradoc si to provide developers (mainly web developers) a tool for the autodocumentation of project similar to javadoc but usable with JSP, HTML , ASP.. and other file formats.
caprice32	An emulator of the Amstrad CPC 8bit home computer range.
capros	CapROS is an experimental capability-based operating system, based on EROS, KeyKOS, and Gnosis. Ports exist for the Intel IA-32 and ARM9 architectures.
caps-toggle	Eclipse 3.x plugin to provide case toggling functionality in the various Eclipse editors. Includes general purpose &quot;firstName -&gt; FIRSTNAME -&gt; firstname -&gt; FIRSTnAME -&gt; firstName&quot; toggling and database toggling: &quot;firstName -&gt;
capsaicin	Capsaicin is an OS installer Supplying GTK, ncurses, and raw text console based installs.  The goal of the project is to create a suitable UI to make Linux/BSD/ReactOS installs quick and painless.
capsail	A new open source storage management inititative. The hope is to gather a group of folks who share the same problems and develop an open source solution that anyone can use to manage their data and storage
capsimtmk	Capsim (r) C Text Mode Kernel (TMK), DSP and communication blocks, topologies, libraries and tools for the development of high performance block diagram digital signal processing and communications systems with built in interpreter for scripting.
capster	capster is the first multi-platform GUI napster client. it has more features than even the well-featured windows client. it can be run on windows, unix, mac... any OS for which there is a Tcl/Tk runtime.
capsule	Capsule is an OO programming language that is as simple as Java but has all the features of Java and C++. Capsule code is translated into C/C++ code before being compiled by the platforms C/C++ compiler and all C/C++ code can be included in Capsule code.
capsule-ta0kira	Source code template library for encapsulation of highly-visible program data. Provides storage, access control, and duplication. Enforces modular access pattern, restricting normal functions from object access. Also protects simple objects.
captain-hook	A Linux 2.4 iptables firewall construction shell script designed to be run at boot time, or any time.  Has lots of debugging and tracing options.  Allows lots of flexibility in specification of special chains for Code Red and such.  Handles multiple zone
captainfeature	Captain Feature is a tool for modelling features with an integrated Configurator to specialize the created feature diagrams. The tool was developed for the domain analysis of software system families. Make your experiences in modelling other systems.
captainhook	CaptainHook is a simple plugin framework for writing Subversion hooks using .NET. This project was an internal tool by VelocIT (http://veloc-it.com/) that has been released to the community as an open source project.
captainnmea	A library for working with GPS units in Delphi. Parsing of most NMEA (all hopefully) sentences with a generic entry point for commications libraries of your choice.
captainslog	&quot;Captain&#039;s Log&quot; is a relatively simple irc log parser written in PHP. At this time, it only supports Eggdrop logs. However, we plan to add support for other log formats in the future. It allows logs to be viewed in a variety of manners.
captchanet	CAPTCHA.NET is a .NET project written in C# used to provide CAPTCHA based image authentication. CAPTCHA based authentication is used typically to restrict web application access to humans by forcing the user to enter a series of distorted letters.
captchatest	CAPTCHATEST is a web-based test tool allowing developers to measure the effectiveness of their CAPTCHA designs in a standardized way. Input is to be in the form of uploaded design and output is the clock time with decipherable results.
captcom	Capture port série et udp
captivate	Graphical user interface and backend for a beatmania IIDX score tracker. It is to be the unofficial Japanese High-Score-Online (HOL) replacement. This will track Ex scores as well as tallies for accuracy. Will provide rival mode as well.
captive-ce	Implements a framework for running Windows CE DLLs in an emulation environment (qemu). Primary focus is to implement support for binary only filesystem and network device drivers in a *nix environment.
capture	`capture` is a remote capture software currently designed around the Canon PowerShot digital cameras. It can be used interactively from the command-line, wrapped into a script or a GUI.
capture-hpc	Capture is a high interaction honeypot client that finds malicious servers on a network. Capture monitors the systems state, and checks for changes which malicious resources may cause. THIS PROJECT HAS MOVE TO HTTP://www.nz-honeynet.org/capture.html
capture-it	Capture web pages as images, thumbnails, capture page elements, index key words, Capture it includes a command line and COM based server object designed for end users or developers.
capturedefense	An Open Source multiplayer game.  This is meant as a learning experience for those interested in seeing how a game is actually made.
capturedit	A screen capture / screenshot and edit utility written in java to be cross platform. It allows the selection of an area with instant, inplace markup and annotation ability, then copy to clipboard or save to file.
capturedll	Screen Capture / Shot dynamic link library with composite imaging addbilities. Image Output formats bmp jpeg. png support soon. Written in C++.
capturetf	A really really good Capture the Flag computer game.
capturetv	capturetv is a simple bash script which simplifies the process of capturing TV  via  MEncoder. The script also optionally calculates the optimal bitrate depending on how many minutes you want to burn to CD and burns it.
capturewebvideo	use for capture video and sound data from web cameras and write to avi file (other type of file and pictures in prospects).
captus	A packet capture and injection library for python.
capuni	&#039;cappucino&#039; is an open source, cross-platform (Java-) software solution for running a stock-market-alike caf?.
capwap	The project is an implementation of CAPWAP agents for WTPs and ACs.
capybara	Scripts for downloading, configuring, compiling, and packaging software.  The goal is to create a complete linux distribution, but you can also use it to add software to an existing distribution.  The files of each package are encapsulated with &quot;epk
car	Car is a library and program for creating archives from sets of files and reading files from an archive. Archives are accessed with functions similar to the stdio functions in C (fopen, fread, ...). An archive can contain directories and symlinks.
car-calculator	Console based application which should compile on any system supporting c++. Includes calculations like blood alcohol content, 1/4 mile run, liter conversion, etc.
car-companion	Car Companion is a tool to track the maintenance that needs to be performed on the users car.  Users can create custom maintenance items and generate reports and a sticker for their car.
car-dsp	The goal of this project is to build software for a car dsp system to simulate surround sound, which works fine with available car radios and amplifiers. The system will be based on a uC-Linux system (i.e. Analog Devices Blackfin).
car-front	Plugin based carpc framework.
car-j	Ferramentas de desenvolvimento e aplica??o de Reportagem Assistida por Computador. Develpment and application tools for Computer Assisted Reporting.
cara	CARA (*CA*RMEN *R*DF *A*PI) provides an API for the Resource Description Framework (RDF). The API is based on the graph model of RDF, supports in-memory and persistant storage and includes an RDF Parser.
carabiner	Carabiner is a suite of Java tools designed to facilitate the practices of an Agile software developer.
caracois-cms	This is a simple CMS - Beta
caracoles	A minimal Website/Blog manager. Uses PHP and textfiles database.
caradownloader	CaraDownloader est un programme qui ?mule un serveur POP (compatible avec presque tous les clients POP). Il permet de chercher tous les nouveaux message d&#039;une bo?te CaraMail. T?l?charge aussi les pi?ces jointes et les images.
carafe	Carafe is an efficient implementation of Conditional Random Fields in OCaml targeted towards text processing applications (eg named entity tagging).  Features include: Voted Perceptron and BFGS training, feature induction, an SGML/XML parser, and more.
caramba	This is an IRCd developed strictly out of boredness. Based on hybrid-6.0
caramba-	An IRCd written in mIRC with many of the same features as bahamut.
caramba-rss	A mobile RSS reader written in J2ME. Feeds are downloaded in background, allowing a fast and fluide experience. The project also includes a fast AJAXed web RSS reader to be used when the J2ME client is not necessary.
carambola	Carambola is a web-based interface for administration of single sign-on environments powered by a LDAP directory.
caramp	A mp3player, you can controll it over a lcd. It is perfect for your car when you have a pc in your car ;-)
carampop	Carampop permet à votre logiciel de messagerie d&#039;accéder gratuitement à votre boîte @caramail.com en utilisant le protocole POP3.
caramush	CaraMush is a text based caramail client for linux written in C, it use ncurse, pthread and glib... With this software you can chat on Caramail server. It look like BichtX.
caranou	Online multiplayer Billiard/disc like game based upon Couronne
carassius	Carassius is an Email client unlike any other. In addition to a new intuitive approach to the regular email protocols (POP3, IMAP, SMTP), Carassius also handles the major Webmail services including Gmail, Yahoo! Mail &amp; Hotmail.
caravan	Universal Database migration toolkits; Database Cross migration toolkits.
caravel	Caravel is a modular, enterprise-level Content Management System with an intuitive user interface, designed to allow non-technical users to maintain website content. Caravel allows admins to centrally maintain thousands of sites off one code-base.
carball	CarBall is 3D multiplayer game, where your need to goal ball to the opponent gate with tractor. Game based on Newton Physics and rewrited GUNgine.
carbcounter	This is a Java J2ME application for counting carbohydrates (carbs), protein, fat, and calories in common foods and beverages. It should run on most mobile phones and PDAs.
carbine	Carbine is a library which makes the parsing of XML files into object structures very simple. The tags you want to include in your XML file are easy to define and set up classes for. In addition you can also set up references within the XML file so that
carblog	CarbLog is a Palm OS based nutrient tracking system. It has been designed specifically for people following a low-carb diet, but due to the flexible nature of its design, may be used to monitor the progress of many popular diets.
carblue	This is a research project to design a new driver for RARS (http://rars.sourceforge.net/).  The ambition is to create a driver that will compete very well in both sparse and dense traffic.
